Total Deductible Amount,Avg Deductible Amount,Total Insurance Amount,Avg Insurance Amount,Avg Days Stayed,Avg Days in claim,Avg Days Admission to Claim,Avg Age,Avg Diagnosis Count,Avg Procedure Count,Avg Months PartA Cov,Avg Months PartB Cov,Avg IP ReimbursementAmt,Avg OP ReimbursementAmt,Avg IP DeductibleAmt,Avg OP DeductibleAmt,Avg Disease Count,Provider,PotentialFraud
64110.0,599.1588785046729,750080,7010.093457943925,4.383177570093458,4.383177570093458,0.0,76.02803738317758,5.859813084112149,0.42990654205607476,11.327102803738319,11.88785046728972,13279.626168224298,2329.626168224299,1391.6635514018692,557.8504672897196,5.205607476635514,PRV55912,1
64490.0,265.3909465020576,598180,2461.6460905349795,2.7160493827160495,2.7160493827160495,0.0,73.50617283950618,4.156378600823046,0.16872427983539096,11.753086419753087,11.94238683127572,8010.164609053498,2503.0041152263375,843.2921810699588,706.5843621399177,5.111111111111111,PRV55907,0
23606.0,265.23595505617976,189070,2124.38202247191,3.067415730337079,3.067415730337079,0.0,71.5505617977528,4.0,0.14606741573033707,12.0,11.955056179775282,7372.0224719101125,2828.4269662921347,732.0,992.2471910112359,4.707865168539326,PRV52405,0
164944.0,266.8996763754045,1693410,2740.145631067961,2.598705501618123,2.598705501618123,0.0,73.36245954692556,3.8576051779935274,0.19741100323624594,11.902912621359222,11.953074433656958,7877.864077669903,2664.644012944984,849.5598705501618,741.1828478964401,4.7459546925566345,PRV54986,1
34776.0,183.03157894736842,320740,1688.1052631578948,2.2473684210526317,2.2473684210526317,0.0,75.50526315789473,3.3789473684210525,0.11052631578947368,12.0,12.0,7480.473684210527,2222.2105263157896,653.4315789473684,618.3684210526316,4.510526315789473,PRV54090,0
37362.0,113.21818181818182,488660,1480.7878787878788,1.8484848484848484,1.8484848484848484,0.0,74.01515151515152,3.3727272727272726,0.09393939393939393,11.963636363636363,11.957575757575757,4914.515151515152,2557.3636363636365,517.2363636363636,752.1212121212121,4.415151515151515,PRV51148,1
3464.0,18.623655913978496,76630,411.98924731182797,1.4516129032258065,1.4516129032258065,0.0,73.24731182795699,2.736559139784946,0.010752688172043012,12.0,12.0,4433.602150537635,2491.451612903226,554.6881720430108,768.9247311827957,4.446236559139785,PRV55839,0
160394.0,47.272030651341,2284560,673.315649867374,1.6713822575891542,1.6713822575891542,0.0,72.98526377836723,2.941939286766873,0.034482758620689655,11.925729442970823,11.939286766872973,4780.857648099028,2303.958149130563,548.3371647509579,634.5019157088122,4.427350427350428,PRV55215,1
33108.0,752.4545454545455,444380,10099.545454545454,5.2272727272727275,5.2272727272727275,0.0,72.79545454545455,6.863636363636363,0.5,11.727272727272727,11.863636363636363,15358.181818181818,1492.2727272727273,2239.4545454545455,480.22727272727275,5.386363636363637,PRV55193,1
172088.0,851.9207920792079,1606350,7952.227722772277,4.900990099009901,4.900990099009901,0.0,73.56930693069307,6.856435643564357,0.6435643564356436,11.94059405940594,12.0,16146.18811881188,1350.7920792079208,1559.7623762376238,420.0,5.183168316831683,PRV51145,1
49218.0,387.54330708661416,511670,4028.8976377952754,2.8976377952755907,2.8976377952755907,0.0,75.5984251968504,4.960629921259843,0.28346456692913385,12.0,11.905511811023622,9684.488188976378,2280.787401574803,975.496062992126,643.0708661417323,5.21259842519685,PRV55846,0
70488.0,1068.0,594700,9010.60606060606,4.9393939393939394,4.9393939393939394,0.0,73.95454545454545,8.272727272727273,0.696969696969697,12.0,12.0,19325.60606060606,1101.5151515151515,2117.060606060606,487.57575757575756,6.151515151515151,PRV52283,1
39516.0,1068.0,422000,11405.405405405405,5.054054054054054,5.054054054054054,0.0,72.94594594594595,7.972972972972973,0.7567567567567568,12.0,12.0,15778.378378378378,1762.7027027027027,1998.4864864864865,356.2162162162162,6.324324324324325,PRV54675,1
42720.0,1068.0,375200,9380.0,5.125,5.125,0.0,74.5,7.575,0.825,12.0,12.0,18694.0,3980.5,1889.0,1011.75,5.825,PRV54676,1
74634.0,82.01538461538462,906370,996.010989010989,1.589010989010989,1.589010989010989,0.0,75.68681318681318,3.0406593406593405,0.05824175824175824,11.986813186813187,11.96043956043956,4370.450549450549,1634.6923076923076,394.44395604395606,536.3626373626373,4.1219780219780215,PRV51393,1
30434.0,147.024154589372,356780,1723.574879227053,1.9758454106280192,1.9758454106280192,0.0,75.10628019323671,3.314009661835749,0.12560386473429952,12.0,11.927536231884059,4841.256038647343,2272.995169082126,551.4009661835748,740.0483091787439,4.473429951690822,PRV51342,0
10622.0,23.44812362030905,197250,435.43046357615896,1.7682119205298013,1.7682119205298013,0.0,73.10154525386314,2.7991169977924946,0.01545253863134658,11.955849889624725,11.969094922737307,5640.949227373068,2467.373068432671,429.74834437086093,782.1412803532008,4.545253863134658,PRV55834,0
