age,CHI_Month_0,CHI_0_1,Support_Cases_0,Support_Cases_0_1,SP_0,SP_0_1,Logins,Blog,Views,LastLogin,churn,,
 67.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 67.0 , 62.0 , 4.0 , -   , -   , -   , -   , -   , -   , (16.0), 31.0 , -   ,,
 55.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 63.0 , 231.0 , 1.0 , 1.0 , (1.0), 3.0 , -   , 167.0 , (8.0)," 21,996.0 ", -   , -   ,,
 57.0 , 43.0 , (1.0), -   , -   , -   , -   , -   , -   , 9.0 , 31.0 , -   ,,
 58.0 , 138.0 , (10.0), -   , -   , -   , -   , 43.0 , -   , (33.0), -   , -   ,,
 57.0 , 180.0 , (5.0), 1.0 , 1.0 , 3.0 , 3.0 , 13.0 , (1.0), 907.0 , -   , -   ,,
 46.0 , 116.0 , (11.0), -   , -   , -   , -   , -   , -   , 38.0 , 6.0 , -   ,,
 56.0 , 78.0 , (7.0), 1.0 , (2.0), 3.0 , -   , (9.0), 1.0 , -   , 7.0 , -   ,,
 56.0 , 78.0 , (37.0), -   , -   , -   , -   , (7.0), -   , 30.0 , 14.0 , -   ,,
 53.0 , 91.0 , (1.0), -   , -   , -   , -   , 14.0 , 3.0 , -   , -   , -   ,,
 56.0 , 40.0 , 14.0 , -   , -   , -   , -   , -   , -   , 15.0 , 31.0 , -   ,,
 57.0 , 215.0 , 15.0 , -   , -   , -   , -   , 71.0 , 9.0 ," 8,658.0 ", -   , -   ,,
 57.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 55.0 , 118.0 , 63.0 , -   , -   , -   , -   , 5.0 , 1.0 , 995.0 , -   , -   ,,
 56.0 , 59.0 , 16.0 , -   , -   , -   , -   , -   , -   , 4.0 , 31.0 , -   ,,
 52.0 , 67.0 , 25.0 , -   , -   , -   , -   , 4.0 , -   , 77.0 , 31.0 , -   ,,
 55.0 , -   , -   , -   , -   , -   , -   , -   , -   , (2.0), 31.0 , -   ,,
 54.0 , 258.0 , (4.0), 1.0 , -   , 3.0 , -   , 34.0 , 6.0 , 149.0 , -   , -   ,,
 54.0 , 89.0 , (12.0), 1.0 , 1.0 , 3.0 , 3.0 , (41.0), (8.0), (29.0), -   , -   ,,
 54.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 54.0 , 142.0 , 1.0 , -   , -   , -   , -   , 26.0 , 1.0 , (4.0), 13.0 , -   ,,
 53.0 , 86.0 , 10.0 , -   , -   , -   , -   , 2.0 , -   , (53.0), (31.0), -   ,,
 53.0 , 100.0 , 5.0 , -   , (1.0), -   , (3.0), -   , -   , (8.0), 2.0 , -   ,,
 53.0 , 103.0 , (12.0), -   , -   , -   , -   , (6.0), (1.0), 40.0 , (1.0), -   ,,
 46.0 , 75.0 , -   , -   , -   , -   , -   , -   , -   , 10.0 , 30.0 , -   ,,
 53.0 , 182.0 , 8.0 , 8.0 , 6.0 , 3.0 , (0.5), 38.0 , 1.0 , 671.0 , -   , -   ,,
 53.0 , 230.0 , -   , -   , -   , -   , -   , 84.0 , 3.0 ," 13,043.0 ", -   , -   ,,
 52.0 , 179.0 , (22.0), 2.0 , 1.0 , 3.0 , -   , 10.0 , (2.0), 5.0 , (1.0), -   ,,
 53.0 , 48.0 , (10.0), -   , -   , -   , -   , (15.0), -   , 12.0 , (18.0), -   ,,
 52.0 , 99.0 , (6.0), -   , -   , -   , -   , (8.0), -   , (23.0), (31.0), -   ,,
 32.0 , 67.0 , 28.0 , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 52.0 , 160.0 , 10.0 , 3.0 , 3.0 , 3.0 , 3.0 , 12.0 , -   , 481.0 , 4.0 , -   ,,
 52.0 , 91.0 , 50.0 , 4.0 , 1.0 , 3.0 , -   , 26.0 , -   , -   , (11.0), -   ,,
 52.0 , 105.0 , 1.0 , -   , -   , -   , -   , 14.0 , 1.0 , -   , -   , -   ,,
 52.0 , 93.0 , (29.0), -   , -   , -   , -   , (7.0), 1.0 ," 4,682.0 ", -   , -   ,,
 51.0 , 143.0 , (32.0), 4.0 , 1.0 , 2.5 , 0.2 , 61.0 , (1.0), 67.0 , -   , -   ,,
 50.0 , 108.0 , 40.0 , 1.0 , 1.0 , 3.0 , 3.0 , 43.0 , -   , 16.0 , -   , -   ,,
 52.0 , 168.0 , (5.0), 8.0 , (3.0), 3.0 , -   , 62.0 , 2.0 , 589.0 , (31.0), -   ,,
 52.0 , 186.0 , (4.0), 2.0 , 1.0 , 2.5 , (0.5), 86.0 , (3.0)," 2,139.0 ", 4.0 , -   ,,
 52.0 , 75.0 , -   , -   , -   , -   , -   , 8.0 , -   , -   , -   , -   ,,
 51.0 , 25.0 , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 49.0 , 124.0 , 34.0 , -   , -   , -   , -   , 10.0 , -   , (188.0), 31.0 , -   ,,
 43.0 , 147.0 , (7.0), 1.0 , 1.0 , 3.0 , 3.0 , (25.0), (2.0), 138.0 , (1.0), -   ,,
 51.0 , 134.0 , 1.0 , 3.0 , 2.0 , 3.0 , -   , 10.0 , -   , -   , -   , -   ,,
 51.0 , 77.0 , (1.0), -   , -   , -   , -   , (1.0), -   , (81.0), (6.0), -   ,,
 48.0 , 57.0 , (2.0), -   , -   , -   , -   , -   , -   ," 2,379.0 ", 31.0 , -   ,,
 50.0 , 115.0 , -   , -   , -   , -   , -   , -   , -   , (300.0), 31.0 , -   ,,
 44.0 , 51.0 , (1.0), 1.0 , (1.0), 3.0 , -   , (12.0), -   , -   , (133.0), -   ,,
 49.0 , 85.0 , -   , -   , -   , -   , -   , 1.0 , -   , -   , (12.0), -   ,,
 49.0 , 1.0 , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 45.0 , 87.0 , (3.0), 1.0 , 1.0 , 3.0 , 3.0 , 9.0 , -   , -   , (143.0), -   ,,
 49.0 , 210.0 , 2.0 , 2.0 , (3.0), 2.5 , (0.5), 181.0 , (3.0), 724.0 , -   , -   ,,
 47.0 , 122.0 , 2.0 , 3.0 , (6.0), 3.0 , -   , (31.0), -   , 122.0 , -   , 1.0 ,,
 48.0 , 3.0 , -   , -   , -   , -   , -   , -   , -   , -   , 30.0 , -   ,,
 49.0 , 179.0 , 14.0 , 1.0 , 1.0 , 3.0 , 3.0 , 54.0 , (1.0), (124.0), (1.0), -   ,,
 49.0 , -   , (21.0), -   , -   , -   , -   , (8.0), -   , -   , 4.0 , -   ,,
 35.0 , 152.0 , -   , -   , -   , -   , -   , (13.0), -   , 82.0 , -   , -   ,,
 46.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 47.0 , -   , (26.0), -   , -   , -   , -   , (7.0), -   , -   , (53.0), 1.0 ,,
 47.0 , 7.0 , 7.0 , -   , -   , -   , -   , 4.0 , -   , -   , 31.0 , -   ,,
 48.0 , 14.0 , 14.0 , -   , -   , -   , -   , 4.0 , -   , (5.0), 31.0 , -   ,,
 47.0 , 53.0 , (27.0), -   , -   , -   , -   , (4.0), -   , 41.0 , 4.0 , -   ,,
 48.0 , 39.0 , (52.0), -   , -   , -   , -   , (1.0), -   , 33.0 , (5.0), -   ,,
 48.0 , 103.0 , 4.0 , -   , (3.0), -   , (3.0), 14.0 , -   , (9.0), -   , -   ,,
